Roadway.Name,From,To,id,ZIP CODE,int1,int2,zip1,zip2
1 AVE,EAST 99 ST,EAST 97 ST,1,,1+AVE+%26+EAST+99+ST,1+AVE+%26+EAST+97+ST,10029,10029
1 AVE,EAST 120 ST,EAST 124 ST,2,,1+AVE+%26+EAST+120+ST,1+AVE+%26+EAST+124+ST,10035,10035
1 AVENUE,EAST 12 STREET,EAST 13 STREET,3,,1+AVENUE+%26+EAST+12+STREET,1+AVENUE+%26+EAST+13+STREET,10009,10009
1 AVENUE,EAST 26 STREET,EAST 27 STREET,4,,1+AVENUE+%26+EAST+26+STREET,1+AVENUE+%26+EAST+27+STREET,10016,10016
1 AVENUE,EAST 60 STREET,EAST 61 STREET,5,,1+AVENUE+%26+EAST+60+STREET,1+AVENUE+%26+EAST+61+STREET,10022,10065
1 AVENUE,EAST 73 STREET,EAST 74 STREET,6,,1+AVENUE+%26+EAST+73+STREET,1+AVENUE+%26+EAST+74+STREET,10021,10021
1 AVENUE,EAST 11 STREET,EAST 12 STREET,7,,1+AVENUE+%26+EAST+11+STREET,1+AVENUE+%26+EAST+12+STREET,10009,10009
1 AVENUE,DEAD END,DEAD END,8,,1+AVENUE+%26+DEAD+END,1+AVENUE+%26+DEAD+END,OCTYPE,OCTYPE
1 AVENUE,EAST 120 STREET,PALADINO AVENUE,9,,1+AVENUE+%26+EAST+120+STREET,1+AVENUE+%26+PALADINO+AVENUE,10035,10035
1 AVENUE,EAST 27 STREET,EAST 28 STREET,10,,1+AVENUE+%26+EAST+27+STREET,1+AVENUE+%26+EAST+28+STREET,10016,10016
1 AVENUE,EAST 97 STREET,EAST 99 STREET,11,,1+AVENUE+%26+EAST+97+STREET,1+AVENUE+%26+EAST+99+STREET,10029,10029
1 AVENUE,59 STREET,EAST 60 STREET,12,,1+AVENUE+%26+59+STREET,1+AVENUE+%26+EAST+60+STREET,10022,10022
1 AVENUE,E 120TH ST,E 124TH ST,13,,1+AVENUE+%26+E+120TH+ST,1+AVENUE+%26+E+124TH+ST,10035,10035
10 AVENUE,WEST 27 STREET,WEST 28 STREET,14,,10+AVENUE+%26+WEST+27+STREET,10+AVENUE+%26+WEST+28+STREET,10001,10001
10 AVENUE,WEST 45 STREET,WEST 46 STREET,15,,10+AVENUE+%26+WEST+45+STREET,10+AVENUE+%26+WEST+46+STREET,10036,10036
10 AVENUE,67 STREET,68 STREET,16,,10+AVENUE+%26+67+STREET,10+AVENUE+%26+68+STREET,11219,11219
10 AVENUE,WEST 46 STREET,WEST 47 STREET,17,,10+AVENUE+%26+WEST+46+STREET,10+AVENUE+%26+WEST+47+STREET,10036,10036
10 AVENUE,WEST 27 DRIVE,WEST 28TH STREET,18,,10+AVENUE+%26+WEST+27+DRIVE,10+AVENUE+%26+WEST+28TH+STREET,10001,10001
10 AVENUE,WEST 27 DRIVE,WEST 28 STREET,19,,10+AVENUE+%26+WEST+27+DRIVE,10+AVENUE+%26+WEST+28+STREET,10001,10001
101 AVE,146 STREET,WALTHAM STREET,20,,101+AVE+%26+146+STREET,101+AVE+%26+WALTHAM+STREET,11435,11435
101 AVENUE,BRISBIN STREET,ALLENDALE STREET,21,,101+AVENUE+%26+BRISBIN+STREET,101+AVENUE+%26+ALLENDALE+STREET,11435,11435
101 AVENUE,107 STREET,107 STREET,22,,101+AVENUE+%26+107+STREET,101+AVENUE+%26+107+STREET,11416,11416
101 AVENUE,107 STREET,108 STREET,23,,101+AVENUE+%26+107+STREET,101+AVENUE+%26+108+STREET,11416,11419
101 AVENUE,CRESSKILL PLACE,BRISBIN STREET,24,,101+AVENUE+%26+CRESSKILL+PLACE,101+AVENUE+%26+BRISBIN+STREET,11435,11435
101 AVENUE,WALTHAM STREET,146TH STREET,25,,101+AVENUE+%26+WALTHAM+STREET,101+AVENUE+%26+146TH+STREET,11435,11435
103 STREET,NORTHERN BOULEVARD,34 AVENUE,26,,103+STREET+%26+NORTHERN+BOULEVARD,103+STREET+%26+34+AVENUE,11369,11368
103RD STREET,NORTHERN BOULEVARD,34TH AVENUE,27,,103RD+STREET+%26+NORTHERN+BOULEVARD,103RD+STREET+%26+34TH+AVENUE,11369,11368
108 STREET,62 DRIVE,63 AVENUE,28,,108+STREET+%26+62+DRIVE,108+STREET+%26+63+AVENUE,11375,11375
108 STREET,62 AVENUE,APEX PLACE,29,,108+STREET+%26+62+AVENUE,108+STREET+%26+APEX+PLACE,11375,11375
108 STREET,NORTHERN BOULEVARD,34 AVENUE,30,,108+STREET+%26+NORTHERN+BOULEVARD,108+STREET+%26+34+AVENUE,11368,11368
108 STREET,62ND AVENUE,APEX PLACE,31,,108+STREET+%26+62ND+AVENUE,108+STREET+%26+APEX+PLACE,11375,11375
108TH STREET,NORTHERN BOULEVARD,34THAVENUE,32,,108TH+STREET+%26+NORTHERN+BOULEVARD,108TH+STREET+%26+34THAVENUE,11368,OCTYPE
108TH STREET,NORTHERN BOULEVARD,34TH AVENUE,33,,108TH+STREET+%26+NORTHERN+BOULEVARD,108TH+STREET+%26+34TH+AVENUE,11368,11368
10TH AVENUE,WEST 45TH STREET,WEST 46TH STREET,34,,10TH+AVENUE+%26+WEST+45TH+STREET,10TH+AVENUE+%26+WEST+46TH+STREET,10036,10036
11 AVENUE,WEST 27 STREET,WEST 28 STREET,35,,11+AVENUE+%26+WEST+27+STREET,11+AVENUE+%26+WEST+28+STREET,10001,10001
11 AVENUE,WEST 43 STREET,WEST 44 STREET,36,,11+AVENUE+%26+WEST+43+STREET,11+AVENUE+%26+WEST+44+STREET,10036,10036
11 AVENUE,WEST 45 STREET,WEST 46 STREET,37,,11+AVENUE+%26+WEST+45+STREET,11+AVENUE+%26+WEST+46+STREET,10036,10036
11 AVENUE,WEST 28 STREET,WEST 29 STREET,38,,11+AVENUE+%26+WEST+28+STREET,11+AVENUE+%26+WEST+29+STREET,10001,10001
11 AVENUE,WEST 44 STREET,WEST 45 STREET,39,,11+AVENUE+%26+WEST+44+STREET,11+AVENUE+%26+WEST+45+STREET,10036,10036
11 AVENUE,WEST 44TH STREET,WEST 45TH STREET,40,,11+AVENUE+%26+WEST+44TH+STREET,11+AVENUE+%26+WEST+45TH+STREET,10036,10036
11 STREET,47 AVENUE,47 ROAD,41,,11+STREET+%26+47+AVENUE,11+STREET+%26+47+ROAD,11101,11101
110 AVENUE,155 STREET,156 STREET,42,,110+AVENUE+%26+155+STREET,110+AVENUE+%26+156+STREET,11433,11433
111 AVE,142 STREET,143 STREET,43,,111+AVE+%26+142+STREET,111+AVE+%26+143+STREET,11435,11435
111 AVENUE,140 STREET,141 STREET,44,,111+AVENUE+%26+140+STREET,111+AVENUE+%26+141+STREET,11435,11435
111 AVENUE,141 STREET,140 STREET,45,,111+AVENUE+%26+141+STREET,111+AVENUE+%26+140+STREET,11435,11435
114 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,46,,114+STREET+%26+ASTORIA+BOULEVARD,114+STREET+%26+NORTHERN+BOULEVARD,11369,11369
114 STREET,GRAND CENTRAL ENTRANCE,36 AVENUE,47,,114+STREET+%26+GRAND+CENTRAL+ENTRANCE,114+STREET+%26+36+AVENUE,OCTYPE,OCTYPE
115 AVENUE,217 STREET,218 STREET,48,,115+AVENUE+%26+217+STREET,115+AVENUE+%26+218+STREET,11411,11411
115 ROAD,205 STREET,FRANCIS LEWIS BLVD,49,,115+ROAD+%26+205+STREET,115+ROAD+%26+FRANCIS+LEWIS+BLVD,11412,11411
11TH AVENUE,WEST 27TH STREET,WEST 28TH STREET,50,,11TH+AVENUE+%26+WEST+27TH+STREET,11TH+AVENUE+%26+WEST+28TH+STREET,10001,10001
11TH AVENUE,WEST 44TH STREET,WEST 45TH STREET,51,,11TH+AVENUE+%26+WEST+44TH+STREET,11TH+AVENUE+%26+WEST+45TH+STREET,10036,10036
11TH ST,47TH AVE,47TH RD,52,,11TH+ST+%26+47TH+AVE,11TH+ST+%26+47TH+RD,11101,11101
11TH STREET,47TH AVENUE,47TH ROAD,53,,11TH+STREET+%26+47TH+AVENUE,11TH+STREET+%26+47TH+ROAD,11101,11101
12 AVENUE,WEST 44 STREET,WEST 45 STREET,54,,12+AVENUE+%26+WEST+44+STREET,12+AVENUE+%26+WEST+45+STREET,10036,10036
12 AVENUE,WEST 59 STREET,WEST 62 STREET,55,,12+AVENUE+%26+WEST+59+STREET,12+AVENUE+%26+WEST+62+STREET,10069,11219
120 AVENUE,191 STREET,192 STREET,56,,120+AVENUE+%26+191+STREET,120+AVENUE+%26+192+STREET,11412,11412
120 AVENUE,191TH STREET,192TH STREET,57,,120+AVENUE+%26+191TH+STREET,120+AVENUE+%26+192TH+STREET,OCTYPE,OCTYPE
126 STREET,37 AVENUE,38 AVENUE,58,,126+STREET+%26+37+AVENUE,126+STREET+%26+38+AVENUE,OCTYPE,OCTYPE
126TH ST,37TH AVE,38TH AVE,59,,126TH+ST+%26+37TH+AVE,126TH+ST+%26+38TH+AVE,OCTYPE,OCTYPE
13 AVENUE,72 STREET,73 STREET,60,,13+AVENUE+%26+72+STREET,13+AVENUE+%26+73+STREET,11228,11228
13 AVENUE,71 STREET,72 STREET,61,,13+AVENUE+%26+71+STREET,13+AVENUE+%26+72+STREET,11228,11228
130 PL,30TH PL,BERGEN RD,62,,130+PL+%26+30TH+PL,130+PL+%26+BERGEN+RD,OCTYPE,11430
134 STREET,ST. ANNS PLACE,BRUCKNER BOULEVARD,63,,134+STREET+%26+ST.+ANNS+PLACE,134+STREET+%26+BRUCKNER+BOULEVARD,10454,10454
13TH AVENUE,71ST STREET,72ND STREET,64,,13TH+AVENUE+%26+71ST+STREET,13TH+AVENUE+%26+72ND+STREET,11228,11228
14 AVENUE,72 STREET,73 STREET,65,,14+AVENUE+%26+72+STREET,14+AVENUE+%26+73+STREET,11228,11228
14 AVENUE,71 STREET,72 STREET,66,,14+AVENUE+%26+71+STREET,14+AVENUE+%26+72+STREET,11228,11228
141 STREET,UNION TURNPIKE,UNION TURNPIKE,67,,141+STREET+%26+UNION+TURNPIKE,141+STREET+%26+UNION+TURNPIKE,11367,11367
147 AVENUE,182 STREET,182 STREET,68,,147+AVENUE+%26+182+STREET,147+AVENUE+%26+182+STREET,11413,11413
14TH AVENUE,71ST STREET,72ND STREET,69,,14TH+AVENUE+%26+71ST+STREET,14TH+AVENUE+%26+72ND+STREET,11228,11228
150 STREET,84 ROAD,84 DRIVE,70,,150+STREET+%26+84+ROAD,150+STREET+%26+84+DRIVE,11432,11435
150 STREET,84 DRIVE,84 ROAD,71,,150+STREET+%26+84+DRIVE,150+STREET+%26+84+ROAD,11435,11432
150TH ST,148TH ST,CENTER CARGO RD,72,,150TH+ST+%26+148TH+ST,150TH+ST+%26+CENTER+CARGO+RD,11433,OCTYPE
164 STREET,67 AVENUE,69 AVENUE,73,,164+STREET+%26+67+AVENUE,164+STREET+%26+69+AVENUE,11365,11365
164 STREET,84 AVENUE,84 ROAD,74,,164+STREET+%26+84+AVENUE,164+STREET+%26+84+ROAD,11432,11432
164 STREET,67 AVE,69 AVE,75,,164+STREET+%26+67+AVE,164+STREET+%26+69+AVE,11365,11365
