Roadway.Name,From,To,id,ZIP CODE
1 AVE,EAST 99 ST,EAST 97 ST,1,
1 AVE,EAST 120 ST,EAST 124 ST,2,
1 AVENUE,EAST 12 STREET,EAST 13 STREET,3,
1 AVENUE,EAST 26 STREET,EAST 27 STREET,4,
1 AVENUE,EAST 60 STREET,EAST 61 STREET,5,
1 AVENUE,EAST 73 STREET,EAST 74 STREET,6,
1 AVENUE,EAST 11 STREET,EAST 12 STREET,7,
1 AVENUE,DEAD END,DEAD END,8,
1 AVENUE,EAST 120 STREET,PALADINO AVENUE,9,
1 AVENUE,EAST 27 STREET,EAST 28 STREET,10,
1 AVENUE,EAST 97 STREET,EAST 99 STREET,11,
1 AVENUE,59 STREET,EAST 60 STREET,12,
1 AVENUE,E 120TH ST,E 124TH ST,13,
10 AVENUE,WEST 27 STREET,WEST 28 STREET,14,
10 AVENUE,WEST 45 STREET,WEST 46 STREET,15,
10 AVENUE,67 STREET,68 STREET,16,
10 AVENUE,WEST 46 STREET,WEST 47 STREET,17,
10 AVENUE,WEST 27 DRIVE,WEST 28TH STREET,18,
10 AVENUE,WEST 27 DRIVE,WEST 28 STREET,19,
101 AVE,146 STREET,WALTHAM STREET,20,
101 AVENUE,BRISBIN STREET,ALLENDALE STREET,21,
101 AVENUE,107 STREET,107 STREET,22,
101 AVENUE,107 STREET,108 STREET,23,
101 AVENUE,CRESSKILL PLACE,BRISBIN STREET,24,
101 AVENUE,WALTHAM STREET,146TH STREET,25,
103 STREET,NORTHERN BOULEVARD,34 AVENUE,26,
103RD STREET,NORTHERN BOULEVARD,34TH AVENUE,27,
108 STREET,62 DRIVE,63 AVENUE,28,
108 STREET,62 AVENUE,APEX PLACE,29,
108 STREET,NORTHERN BOULEVARD,34 AVENUE,30,
108 STREET,62ND AVENUE,APEX PLACE,31,
108TH STREET,NORTHERN BOULEVARD,34THAVENUE,32,
108TH STREET,NORTHERN BOULEVARD,34TH AVENUE,33,
10TH AVENUE,WEST 45TH STREET,WEST 46TH STREET,34,
11 AVENUE,WEST 27 STREET,WEST 28 STREET,35,
11 AVENUE,WEST 43 STREET,WEST 44 STREET,36,
11 AVENUE,WEST 45 STREET,WEST 46 STREET,37,
11 AVENUE,WEST 28 STREET,WEST 29 STREET,38,
11 AVENUE,WEST 44 STREET,WEST 45 STREET,39,
11 AVENUE,WEST 44TH STREET,WEST 45TH STREET,40,
11 STREET,47 AVENUE,47 ROAD,41,
110 AVENUE,155 STREET,156 STREET,42,
111 AVE,142 STREET,143 STREET,43,
111 AVENUE,140 STREET,141 STREET,44,
111 AVENUE,141 STREET,140 STREET,45,
114 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,46,
114 STREET,GRAND CENTRAL ENTRANCE,36 AVENUE,47,
115 AVENUE,217 STREET,218 STREET,48,
115 ROAD,205 STREET,FRANCIS LEWIS BLVD,49,
11TH AVENUE,WEST 27TH STREET,WEST 28TH STREET,50,
11TH AVENUE,WEST 44TH STREET,WEST 45TH STREET,51,
11TH ST,47TH AVE,47TH RD,52,
11TH STREET,47TH AVENUE,47TH ROAD,53,
12 AVENUE,WEST 44 STREET,WEST 45 STREET,54,
12 AVENUE,WEST 59 STREET,WEST 62 STREET,55,
120 AVENUE,191 STREET,192 STREET,56,
120 AVENUE,191TH STREET,192TH STREET,57,
126 STREET,37 AVENUE,38 AVENUE,58,
126TH ST,37TH AVE,38TH AVE,59,
13 AVENUE,72 STREET,73 STREET,60,
13 AVENUE,71 STREET,72 STREET,61,
130 PL,30TH PL,BERGEN RD,62,
134 STREET,ST. ANNS PLACE,BRUCKNER BOULEVARD,63,
13TH AVENUE,71ST STREET,72ND STREET,64,
14 AVENUE,72 STREET,73 STREET,65,
14 AVENUE,71 STREET,72 STREET,66,
141 STREET,UNION TURNPIKE,UNION TURNPIKE,67,
147 AVENUE,182 STREET,182 STREET,68,
14TH AVENUE,71ST STREET,72ND STREET,69,
150 STREET,84 ROAD,84 DRIVE,70,
150 STREET,84 DRIVE,84 ROAD,71,
150TH ST,148TH ST,CENTER CARGO RD,72,
164 STREET,67 AVENUE,69 AVENUE,73,
164 STREET,84 AVENUE,84 ROAD,74,
164 STREET,67 AVE,69 AVE,75,
164 STREET,CHAPIN PARKWAY,84 AVENUE,76,
164 STREET,67 AVENUE,65 AVENUE,77,
164 STREET,65 AVENUE,67 AVENUE,78,
164TH STREET,65TH AVENUE,67TH AVENUE,79,
167 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,80,
169 STREET,GRANT AVENUE,SHERIDAN AVENUE,81,
18 AVENUE,72 STREET,73 STREET,82,
18 AVENUE,71 STREET,72 STREET,83,
188 STREET,HENLEY ROAD,87 ROAD,84,
188 STREET,64 AVENUE,HORACE HARDING EXPRESSWAY SR,85,
188 STREET,HORACE HARDING EXPRESSWAY SR,64 AVENUE,86,
188 STREET,RIO DRIVE,HENLEY ROAD,87,
188 STREET,HORACE HARDING EXPRESSWAY,64 AVENUE,88,
188TH STREET,HORACE HARDING EXPRESSWAY SR S,64TH AVENUE,89,
1ST AVENUE,EAST 47 STREET,EAST 48 STREET,90,
1ST AVENUE,EAST 60TH STREET,EAST 61ST STREET,91,
1ST AVENUE,EAST 11TH STREET,EAST 12TH STREET,92,
1ST AVENUE,EAST 26TH STREET,EAST 27TH STREET,93,
2 AVE,EAST 99 ST,EAST 100 ST,94,
2 AVE,EAST 124 ST,EAST 123 ST,95,
2 AVENUE,EAST 12 STREET,EAST 13 STREET,96,
2 AVENUE,EAST 27 STREET,EAST 28 STREET,97,
2 AVENUE,EAST 46 STREET,EAST 47 STREET,98,
2 AVENUE,EAST 73 STREET,EAST 74 STREET,99,
2 AVENUE,EAST 59 STREET,EAST 60 STREET,100,
2 AVENUE,EAST 74 STREET,EAST 75 STREET,101,
2 AVENUE,EAST 99 STREET,EAST 100 STREET,102,
2 AVENUE,DEAD END,EAST 123 STREET,103,
2 AVENUE MAIN ROAD,EAST 122 STREET,EAST 123 STREET,104,
2 AVENUE SERVICE RD,DEAD END,EAST 123 STREET,105,
2 AVENUE SERVICE ROAD,EAST 122 STREET,EAST 123 STREET,106,
200 STREET,36 AVENUE,FRANCIS LEWIS BOULEVARD,107,
204 STREET,GRAND CONCOURSE,VALENTINE AVENUE,108,
21 ST,DEAD END,35 AVE,109,
21 ST,45 ROAD,46 AVE,110,
21 STREET,45 ROAD,46 AVENUE,111,
21 STREET,34 AVENUE,35 AVENUE,112,
21 STREET,46 AVENUE,45 ROAD,113,
212 STREET,WHITEHALL TERRACE,HILLSIDE AVENUE,114,
225 ST,114 RD,DEAD END,115,
225 STREET,114 AVENUE,114 ROAD,116,
225 STREET,114 ROAD,115 AVENUE,117,
23 AVENUE,83 STREET,85 STREET,118,
23RD AVENUE,83TH STREET,85TH STREET,119,
23RD AVENUE,83RD STREET,85TH STREET,120,
26 AVE,200 STREET,202 STREET,121,
26 AVENUE,201 STREET,202 STREET,122,
2ND AVENUE,EAST 12TH STREET,EAST 13TH STREET,123,
2ND AVENUE,EAST 73RD STREET,EAST 74TH STREET,124,
3 AVE,BUTLER ST,DOUGLAS ST,125,
3 AVE,PACIFIC ST,DEAN ST,126,
3 AVE,EAST 99 ST,EAST 100 ST,127,
3 AVE,EAST 123 ST,EAST 124 ST,128,
3 AVENUE,30 STREET,31 STREET,129,
3 AVENUE,EAST 172 STREET,EAST 173 STREET,130,
3 AVENUE,EAST 189 STREET,PARK AVENUE,131,
3 AVENUE,EAST 155 STREET,EAST 156 STREET,132,
3 AVENUE,29 STREET,28 STREET,133,
3 AVENUE,28 STREET,29 STREET,134,
3 AVENUE,BALTIC STREET,BUTLER STREET,135,
3 AVENUE,DEAN STREET,PACIFIC STREET,136,
3 AVENUE,EAST 12 STREET,EAST 13 STREET,137,
3 AVENUE,EAST 27 STREET,EAST 28 STREET,138,
3 AVENUE,EAST 46 STREET,EAST 47 STREET,139,
3 AVENUE,EAST 59 STREET,EAST 60 STREET,140,
3 AVENUE,EAST 73 STREET,EAST 74 STREET,141,
3 AVENUE,EAST 154 STREET,EAST 155 STREET,142,
3 AVENUE,EAST 155 STREET,EAST 154 STREET,143,
3 AVENUE,SENATOR STREET,68 STREET,144,
3 AVENUE,26 STREET,27 STREET,145,
3 AVENUE,25 STREET,26 STREET,146,
3 AVENUE,EAST 156 STREET,EAST 155 STREET,147,
3 AVENUE,PACIFIC STREET,DEAN STREET,148,
3 AVENUE,29 STREET,30 STREET,149,
3 AVENUE,EAST 123 STREET,EAST 124 STREET,150,
3 AVENUE,EAST 99 STREET,EAST 100 STREET,151,
3 AVENUE,EAST 60 STREET,61 STREET,152,
3 AVENUE,ASTORIA LINE,EAST 61 STREET,153,
3 AVENUE,BUTLER STREET,DOUGLASS STREET,154,
3 AVENUE,PACIFIC STREET,DEAD STREET,155,
3 STREET,SMITH STREET,HOYT STREET,156,
31 AVENUE,87 STREET,88 STREET,157,
31 AVENUE,88 STREET,ALLEY,158,
31 AVENUE,131 STREET,WHITESTONE EXPRESSWAY,159,
