Roadway.Name	From	To	id	ZIP CODE	int1	int2	zip1	zip2	ll1	ll2	lat1	long1	lat2	long2	top_lat	right_long	bot_lat	left_long	botright_lat	botright_long	botleft_lat	botleft_long	topright_lat	topright_long	topleft_lat	topleft_long
1 AVE	EAST 99 ST	EAST 97 ST	1		1+AVE+%26+EAST+99+ST	1+AVE+%26+EAST+97+ST	10029	10029	40.785128,-73.943350	40.783957,-73.944218	40.785128	-73.94335	40.783957	-73.944218	40.785128	-73.94335	40.783957	-73.944218	40.783827	-73.94322	40.783827	-73.944348	40.785258	-73.94322	40.785258	-73.944348
1 AVE	EAST 120 ST	EAST 124 ST	2		1+AVE+%26+EAST+120+ST	1+AVE+%26+EAST+124+ST	10035	10035	40.798672,-73.933474	40.800971,-73.931788	40.798671999999996	-73.933474	40.800971000000004	-73.931788	40.800971000000004	-73.931788	40.798671999999996	-73.933474	40.798542	-73.931658	40.798542	-73.933604	40.801101	-73.931658	40.801101	-73.933604
1 AVENUE	EAST 12 STREET	EAST 13 STREET	3		1+AVENUE+%26+EAST+12+STREET	1+AVENUE+%26+EAST+13+STREET	10009	10009	40.730017,-73.983531	40.730642,-73.983068	40.730017	-73.983531	40.730641999999996	-73.983068	40.730641999999996	-73.983068	40.730017	-73.983531	40.729887	-73.982938	40.729887	-73.983661	40.730771999999995	-73.982938	40.730771999999995	-73.983661
1 AVENUE	EAST 26 STREET	EAST 27 STREET	4		1+AVENUE+%26+EAST+26+STREET	1+AVENUE+%26+EAST+27+STREET	10016	10016	40.738790,-73.977137	40.739406,-73.976688	40.73879	-73.977137	40.739406	-73.976688	40.739406	-73.976688	40.73879	-73.977137	40.73866	-73.976558	40.73866	-73.977267	40.739536	-73.976558	40.739536	-73.977267
1 AVENUE	EAST 60 STREET	EAST 61 STREET	5		1+AVENUE+%26+EAST+60+STREET	1+AVENUE+%26+EAST+61+STREET	10022	10065	"OCTYPE html>
<html i"	40.760866,-73.961061			40.760866	-73.961061	40.760866	-73.961061	40.760866	-73.961061	40.760736	-73.960931	40.760736	-73.961191	40.760996	-73.960931	40.760996	-73.961191
1 AVENUE	EAST 73 STREET	EAST 74 STREET	6		1+AVENUE+%26+EAST+73+STREET	1+AVENUE+%26+EAST+74+STREET	10021	10021	40.768487,-73.955506	40.769140,-73.955035	40.768487	-73.955506	40.76914	-73.955035	40.76914	-73.955035	40.768487	-73.955506	40.768357	-73.954905	40.768357	-73.955636	40.76927	-73.954905	40.76927	-73.955636
1 AVENUE	EAST 11 STREET	EAST 12 STREET	7		1+AVENUE+%26+EAST+11+STREET	1+AVENUE+%26+EAST+12+STREET	10009	10009	"OCTYPE html>
<html i"	40.730017,-73.983531			40.730017	-73.983531	40.730017	-73.983531	40.730017	-73.983531	40.729887	-73.983401	40.729887	-73.983661	40.730146999999995	-73.983401	40.730146999999995	-73.983661
1 AVENUE	DEAD END	DEAD END	8		1+AVENUE+%26+DEAD+END	1+AVENUE+%26+DEAD+END	CTYPE	CTYPE	"OCTYPE html>
<html i"	"OCTYPE html>
<html i"																
1 AVENUE	EAST 120 STREET	PALADINO AVENUE	9		1+AVENUE+%26+EAST+120+STREET	1+AVENUE+%26+PALADINO+AVENUE	10035	10035	40.798672,-73.933474	40.800718,-73.931963	40.798671999999996	-73.933474	40.800717999999996	-73.931963	40.800717999999996	-73.931963	40.798671999999996	-73.933474	40.798542	-73.931833	40.798542	-73.933604	40.800847999999995	-73.931833	40.800847999999995	-73.933604
1 AVENUE	EAST 27 STREET	EAST 28 STREET	10		1+AVENUE+%26+EAST+27+STREET	1+AVENUE+%26+EAST+28+STREET	10016	10016	40.739406,-73.976688	40.740024,-73.976241	40.739406	-73.976688	40.740024	-73.976241	40.740024	-73.976241	40.739406	-73.976688	40.739276000000004	-73.976111	40.739276000000004	-73.976818	40.740154	-73.976111	40.740154	-73.976818
1 AVENUE	EAST 97 STREET	EAST 99 STREET	11		1+AVENUE+%26+EAST+97+STREET	1+AVENUE+%26+EAST+99+STREET	10029	10029	40.783957,-73.944218	40.785128,-73.943350	40.783957	-73.944218	40.785128	-73.94335	40.785128	-73.94335	40.783957	-73.944218	40.783827	-73.94322	40.783827	-73.944348	40.785258	-73.94322	40.785258	-73.944348
1 AVENUE	59 STREET	EAST 60 STREET	12		1+AVENUE+%26+59+STREET	1+AVENUE+%26+EAST+60+STREET	10022	10022	40.759622,-73.961965	"OCTYPE html>
<html i"	40.759622	-73.961965														
1 AVENUE	E 120TH ST	E 124TH ST	13		1+AVENUE+%26+E+120TH+ST	1+AVENUE+%26+E+124TH+ST	10035	10035	40.798672,-73.933474	40.800971,-73.931788	40.798671999999996	-73.933474	40.800971000000004	-73.931788	40.800971000000004	-73.931788	40.798671999999996	-73.933474	40.798542	-73.931658	40.798542	-73.933604	40.801101	-73.931658	40.801101	-73.933604
10 AVENUE	WEST 27 STREET	WEST 28 STREET	14		10+AVENUE+%26+WEST+27+STREET	10+AVENUE+%26+WEST+28+STREET	10001	10001	40.750220,-74.002337	40.750848,-74.001877	40.75022	-74.002337	40.750848	-74.00187700000001	40.750848	-74.00187700000001	40.75022	-74.002337	40.75009	-74.00174700000001	40.75009	-74.002467	40.750977999999996	-74.00174700000001	40.750977999999996	-74.002467
10 AVENUE	WEST 45 STREET	WEST 46 STREET	15		10+AVENUE+%26+WEST+45+STREET	10+AVENUE+%26+WEST+46+STREET	10036	10036	40.761567,-73.994082	40.762195,-73.993616	40.761567	-73.99408199999999	40.762195	-73.993616	40.762195	-73.993616	40.761567	-73.99408199999999	40.761437	-73.993486	40.761437	-73.99421199999999	40.762325	-73.993486	40.762325	-73.99421199999999
10 AVENUE	67 STREET	68 STREET	16		10+AVENUE+%26+67+STREET	10+AVENUE+%26+68+STREET	11219	11219	40.628810,-74.009340	40.628265,-74.009906	40.628809999999994	-74.00934000000001	40.628265	-74.009906	40.628809999999994	-74.00934000000001	40.628265	-74.009906	40.628135	-74.00921000000001	40.628135	-74.010036	40.62893999999999	-74.00921000000001	40.62893999999999	-74.010036
10 AVENUE	WEST 46 STREET	WEST 47 STREET	17		10+AVENUE+%26+WEST+46+STREET	10+AVENUE+%26+WEST+47+STREET	10036	10036	40.762195,-73.993616	40.762826,-73.993165	40.762195	-73.993616	40.762826000000004	-73.993165	40.762826000000004	-73.993165	40.762195	-73.993616	40.762065	-73.993035	40.762065	-73.993746	40.762956	-73.993035	40.762956	-73.993746
10 AVENUE	WEST 27 DRIVE	WEST 28TH STREET	18		10+AVENUE+%26+WEST+27+DRIVE	10+AVENUE+%26+WEST+28TH+STREET	10001	10001	40.750220,-74.002337	40.750848,-74.001877	40.75022	-74.002337	40.750848	-74.00187700000001	40.750848	-74.00187700000001	40.75022	-74.002337	40.75009	-74.00174700000001	40.75009	-74.002467	40.750977999999996	-74.00174700000001	40.750977999999996	-74.002467
10 AVENUE	WEST 27 DRIVE	WEST 28 STREET	19		10+AVENUE+%26+WEST+27+DRIVE	10+AVENUE+%26+WEST+28+STREET	10001	10001	40.750220,-74.002337	40.750848,-74.001877	40.75022	-74.002337	40.750848	-74.00187700000001	40.750848	-74.00187700000001	40.75022	-74.002337	40.75009	-74.00174700000001	40.75009	-74.002467	40.750977999999996	-74.00174700000001	40.750977999999996	-74.002467
101 AVE	146 STREET	WALTHAM STREET	20		101+AVE+%26+146+STREET	101+AVE+%26+WALTHAM+STREET	11435	11435	40.695949,-73.804981	40.695723,-73.805732	40.695949	-73.80498100000001	40.695723	-73.80573199999999	40.695949	-73.80498100000001	40.695723	-73.80573199999999	40.695593	-73.80485100000001	40.695593	-73.80586199999999	40.696079	-73.80485100000001	40.696079	-73.80586199999999
101 AVENUE	BRISBIN STREET	ALLENDALE STREET	21		101+AVENUE+%26+BRISBIN+STREET	101+AVENUE+%26+ALLENDALE+STREET	11435	11435	40.694968,-73.808341	40.695214,-73.807495	40.694967999999996	-73.808341	40.695214	-73.80749499999999	40.695214	-73.80749499999999	40.694967999999996	-73.808341	40.694838	-73.80736499999999	40.694838	-73.808471	40.695344	-73.80736499999999	40.695344	-73.808471
101 AVENUE	107 STREET	107 STREET	22		101+AVENUE+%26+107+STREET	101+AVENUE+%26+107+STREET	11416	11416	40.687084,-73.836088	40.687084,-73.836088	40.687084000000006	-73.836088	40.687084000000006	-73.836088	40.687084000000006	-73.836088	40.687084000000006	-73.836088	40.68695400000001	-73.835958	40.68695400000001	-73.836218	40.687214000000004	-73.835958	40.687214000000004	-73.836218
101 AVENUE	107 STREET	108 STREET	23		101+AVENUE+%26+107+STREET	101+AVENUE+%26+108+STREET	11416	11419	40.687084,-73.836088	40.687327,-73.835238	40.687084000000006	-73.836088	40.687327	-73.835238	40.687327	-73.835238	40.687084000000006	-73.836088	40.68695400000001	-73.835108	40.68695400000001	-73.836218	40.687457	-73.835108	40.687457	-73.836218
101 AVENUE	CRESSKILL PLACE	BRISBIN STREET	24		101+AVENUE+%26+CRESSKILL+PLACE	101+AVENUE+%26+BRISBIN+STREET	11435	11435	40.694734,-73.809193	40.694968,-73.808341	40.694734000000004	-73.80919300000001	40.694967999999996	-73.808341	40.694967999999996	-73.808341	40.694734000000004	-73.80919300000001	40.694604000000005	-73.808211	40.694604000000005	-73.809323	40.695097999999994	-73.808211	40.695097999999994	-73.809323
101 AVENUE	WALTHAM STREET	146TH STREET	25		101+AVENUE+%26+WALTHAM+STREET	101+AVENUE+%26+146TH+STREET	11435	11435	40.695723,-73.805732	40.695949,-73.804981	40.695723	-73.80573199999999	40.695949	-73.80498100000001	40.695949	-73.80498100000001	40.695723	-73.80573199999999	40.695593	-73.80485100000001	40.695593	-73.80586199999999	40.696079	-73.80485100000001	40.696079	-73.80586199999999
103 STREET	NORTHERN BOULEVARD	34 AVENUE	26		103+STREET+%26+NORTHERN+BOULEVARD	103+STREET+%26+34+AVENUE	11369	11368	40.757669,-73.865699	40.755845,-73.865352	40.757669	-73.86569899999999	40.755845	-73.865352	40.757669	-73.865352	40.755845	-73.86569899999999	40.755715	-73.865222	40.755715	-73.86582899999999	40.757799	-73.865222	40.757799	-73.86582899999999
103RD STREET	NORTHERN BOULEVARD	34TH AVENUE	27		103RD+STREET+%26+NORTHERN+BOULEVARD	103RD+STREET+%26+34TH+AVENUE	11369	11368	40.757669,-73.865699	40.755845,-73.865352	40.757669	-73.86569899999999	40.755845	-73.865352	40.757669	-73.865352	40.755845	-73.86569899999999	40.755715	-73.865222	40.755715	-73.86582899999999	40.757799	-73.865222	40.757799	-73.86582899999999
108 STREET	62 DRIVE	63 AVENUE	28		108+STREET+%26+62+DRIVE	108+STREET+%26+63+AVENUE	11375	11375	40.735656,-73.850998	40.734994,-73.850661	40.735656	-73.850998	40.734994	-73.850661	40.735656	-73.850661	40.734994	-73.850998	40.734864	-73.850531	40.734864	-73.851128	40.735786	-73.850531	40.735786	-73.851128
108 STREET	62 AVENUE	APEX PLACE	29		108+STREET+%26+62+AVENUE	108+STREET+%26+APEX+PLACE	11375	11375	40.737002,-73.851690	40.736571,-73.851475	40.737002000000004	-73.85169	40.736571000000005	-73.851475	40.737002000000004	-73.851475	40.736571000000005	-73.85169	40.736441000000006	-73.851345	40.736441000000006	-73.85182	40.737132	-73.851345	40.737132	-73.85182
108 STREET	NORTHERN BOULEVARD	34 AVENUE	30		108+STREET+%26+NORTHERN+BOULEVARD	108+STREET+%26+34+AVENUE	11368	11368	40.757788,-73.860997	40.756333,-73.860719	40.757788	-73.860997	40.756333000000005	-73.86071899999999	40.757788	-73.86071899999999	40.756333000000005	-73.860997	40.756203000000006	-73.86058899999999	40.756203000000006	-73.861127	40.757918	-73.86058899999999	40.757918	-73.861127
108 STREET	62ND AVENUE	APEX PLACE	31		108+STREET+%26+62ND+AVENUE	108+STREET+%26+APEX+PLACE	11375	11375	40.737002,-73.851690	40.736571,-73.851475	40.737002000000004	-73.85169	40.736571000000005	-73.851475	40.737002000000004	-73.851475	40.736571000000005	-73.85169	40.736441000000006	-73.851345	40.736441000000006	-73.85182	40.737132	-73.851345	40.737132	-73.85182
108TH STREET	NORTHERN BOULEVARD	34THAVENUE	32		108TH+STREET+%26+NORTHERN+BOULEVARD	108TH+STREET+%26+34THAVENUE	11368	CTYPE	40.757788,-73.860997	"OCTYPE html>
<html i"	40.757788	-73.860997														
108TH STREET	NORTHERN BOULEVARD	34TH AVENUE	33		108TH+STREET+%26+NORTHERN+BOULEVARD	108TH+STREET+%26+34TH+AVENUE	11368	11368	40.757788,-73.860997	40.756333,-73.860719	40.757788	-73.860997	40.756333000000005	-73.86071899999999	40.757788	-73.86071899999999	40.756333000000005	-73.860997	40.756203000000006	-73.86058899999999	40.756203000000006	-73.861127	40.757918	-73.86058899999999	40.757918	-73.861127
10TH AVENUE	WEST 45TH STREET	WEST 46TH STREET	34		10TH+AVENUE+%26+WEST+45TH+STREET	10TH+AVENUE+%26+WEST+46TH+STREET	10036	10036	40.761567,-73.994082	40.762195,-73.993616	40.761567	-73.99408199999999	40.762195	-73.993616	40.762195	-73.993616	40.761567	-73.99408199999999	40.761437	-73.993486	40.761437	-73.99421199999999	40.762325	-73.993486	40.762325	-73.99421199999999
11 AVENUE	WEST 27 STREET	WEST 28 STREET	35		11+AVENUE+%26+WEST+27+STREET	11+AVENUE+%26+WEST+28+STREET	10001	10001	40.751412,-74.005165	40.752028,-74.004717	40.751412	-74.005165	40.752028	-74.004717	40.752028	-74.004717	40.751412	-74.005165	40.751282	-74.004587	40.751282	-74.005295	40.752158	-74.004587	40.752158	-74.005295
11 AVENUE	WEST 43 STREET	WEST 44 STREET	36		11+AVENUE+%26+WEST+43+STREET	11+AVENUE+%26+WEST+44+STREET	10036	10036	40.761511,-73.997833	40.762135,-73.997392	40.761511	-73.997833	40.762135	-73.997392	40.762135	-73.997392	40.761511	-73.997833	40.761381	-73.997262	40.761381	-73.997963	40.762265	-73.997262	40.762265	-73.997963
11 AVENUE	WEST 45 STREET	WEST 46 STREET	37		11+AVENUE+%26+WEST+45+STREET	11+AVENUE+%26+WEST+46+STREET	10036	10036	40.762747,-73.996939	40.763384,-73.996460	40.762747	-73.996939	40.763384	-73.99646	40.763384	-73.99646	40.762747	-73.996939	40.762617	-73.99633	40.762617	-73.997069	40.763514	-73.99633	40.763514	-73.997069
11 AVENUE	WEST 28 STREET	WEST 29 STREET	38		11+AVENUE+%26+WEST+28+STREET	11+AVENUE+%26+WEST+29+STREET	10001	10001	40.752028,-74.004717	40.752650,-74.004274	40.752028	-74.004717	40.75265	-74.004274	40.75265	-74.004274	40.752028	-74.004717	40.751898000000004	-74.004144	40.751898000000004	-74.004847	40.75278	-74.004144	40.75278	-74.004847
11 AVENUE	WEST 44 STREET	WEST 45 STREET	39		11+AVENUE+%26+WEST+44+STREET	11+AVENUE+%26+WEST+45+STREET	10036	10036	40.762135,-73.997392	40.762747,-73.996939	40.762135	-73.997392	40.762747	-73.996939	40.762747	-73.996939	40.762135	-73.997392	40.762005	-73.996809	40.762005	-73.997522	40.762876999999996	-73.996809	40.762876999999996	-73.997522
11 AVENUE	WEST 44TH STREET	WEST 45TH STREET	40		11+AVENUE+%26+WEST+44TH+STREET	11+AVENUE+%26+WEST+45TH+STREET	10036	10036	40.762135,-73.997392	40.762747,-73.996939	40.762135	-73.997392	40.762747	-73.996939	40.762747	-73.996939	40.762135	-73.997392	40.762005	-73.996809	40.762005	-73.997522	40.762876999999996	-73.996809	40.762876999999996	-73.997522
11 STREET	47 AVENUE	47 ROAD	41		11+STREET+%26+47+AVENUE	11+STREET+%26+47+ROAD	11101	11101	40.745019,-73.950704	40.744339,-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.744209000000005	-73.950574	40.744209000000005	-73.951131	40.745149	-73.950574	40.745149	-73.951131
110 AVENUE	155 STREET	156 STREET	42		110+AVENUE+%26+155+STREET	110+AVENUE+%26+156+STREET	11433	11433	40.690833,-73.794763	40.691238,-73.793977	40.690833000000005	-73.794763	40.691238	-73.793977	40.691238	-73.793977	40.690833000000005	-73.794763	40.690703000000006	-73.793847	40.690703000000006	-73.794893	40.691368	-73.793847	40.691368	-73.794893
111 AVE	142 STREET	143 STREET	43		111+AVE+%26+142+STREET	111+AVE+%26+143+STREET	11435	11435	40.685836,-73.802552	40.686255,-73.801315	40.685836	-73.802552	40.686254999999996	-73.801315	40.686254999999996	-73.801315	40.685836	-73.802552	40.685706	-73.801185	40.685706	-73.802682	40.686384999999994	-73.801185	40.686384999999994	-73.802682
111 AVENUE	140 STREET	141 STREET	44		111+AVENUE+%26+140+STREET	111+AVENUE+%26+141+STREET	11435	11435	40.685341,-73.804301	40.685641,-73.803193	40.685340999999994	-73.804301	40.685641	-73.80319300000001	40.685641	-73.80319300000001	40.685340999999994	-73.804301	40.685210999999995	-73.80306300000001	40.685210999999995	-73.804431	40.685770999999995	-73.80306300000001	40.685770999999995	-73.804431
111 AVENUE	141 STREET	140 STREET	45		111+AVENUE+%26+141+STREET	111+AVENUE+%26+140+STREET	11435	11435	40.685641,-73.803193	40.685341,-73.804301	40.685641	-73.80319300000001	40.685340999999994	-73.804301	40.685641	-73.80319300000001	40.685340999999994	-73.804301	40.685210999999995	-73.80306300000001	40.685210999999995	-73.804431	40.685770999999995	-73.80306300000001	40.685770999999995	-73.804431
114 STREET	ASTORIA BOULEVARD	NORTHERN BOULEVARD	46		114+STREET+%26+ASTORIA+BOULEVARD	114+STREET+%26+NORTHERN+BOULEVARD	11369	11369	40.759417,-73.857104	40.758268,-73.855585	40.759417	-73.857104	40.758268	-73.85558499999999	40.759417	-73.85558499999999	40.758268	-73.857104	40.758138	-73.85545499999999	40.758138	-73.857234	40.759547	-73.85545499999999	40.759547	-73.857234
114 STREET	GRAND CENTRAL ENTRANCE	36 AVENUE	47		114+STREET+%26+GRAND+CENTRAL+ENTRANCE	114+STREET+%26+36+AVENUE	CTYPE	CTYPE	"OCTYPE html>
<html i"	"OCTYPE html>
<html i"																
115 AVENUE	217 STREET	218 STREET	48		115+AVENUE+%26+217+STREET	115+AVENUE+%26+218+STREET	11411	11411	40.701023,-73.740056	40.700717,-73.739237	40.701023	-73.74005600000001	40.700717	-73.739237	40.701023	-73.739237	40.700717	-73.74005600000001	40.700587	-73.739107	40.700587	-73.74018600000001	40.701153	-73.739107	40.701153	-73.74018600000001
115 ROAD	205 STREET	FRANCIS LEWIS BLVD	49		115+ROAD+%26+205+STREET	115+ROAD+%26+FRANCIS+LEWIS+BLVD	11412	11411	40.698436,-73.748978	40.698847,-73.747381	40.698436	-73.74897800000001	40.698847	-73.747381	40.698847	-73.747381	40.698436	-73.74897800000001	40.698306	-73.747251	40.698306	-73.749108	40.698977	-73.747251	40.698977	-73.749108
11TH AVENUE	WEST 27TH STREET	WEST 28TH STREET	50		11TH+AVENUE+%26+WEST+27TH+STREET	11TH+AVENUE+%26+WEST+28TH+STREET	10001	10001	40.751412,-74.005165	40.752028,-74.004717	40.751412	-74.005165	40.752028	-74.004717	40.752028	-74.004717	40.751412	-74.005165	40.751282	-74.004587	40.751282	-74.005295	40.752158	-74.004587	40.752158	-74.005295
11TH AVENUE	WEST 44TH STREET	WEST 45TH STREET	51		11TH+AVENUE+%26+WEST+44TH+STREET	11TH+AVENUE+%26+WEST+45TH+STREET	10036	10036	40.762135,-73.997392	40.762747,-73.996939	40.762135	-73.997392	40.762747	-73.996939	40.762747	-73.996939	40.762135	-73.997392	40.762005	-73.996809	40.762005	-73.997522	40.762876999999996	-73.996809	40.762876999999996	-73.997522
11TH ST	47TH AVE	47TH RD	52		11TH+ST+%26+47TH+AVE	11TH+ST+%26+47TH+RD	11101	11101	40.745019,-73.950704	40.744339,-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.744209000000005	-73.950574	40.744209000000005	-73.951131	40.745149	-73.950574	40.745149	-73.951131
11TH STREET	47TH AVENUE	47TH ROAD	53		11TH+STREET+%26+47TH+AVENUE	11TH+STREET+%26+47TH+ROAD	11101	11101	40.745019,-73.950704	40.744339,-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.745019	-73.950704	40.744339000000004	-73.951001	40.744209000000005	-73.950574	40.744209000000005	-73.951131	40.745149	-73.950574	40.745149	-73.951131
12 AVENUE	WEST 44 STREET	WEST 45 STREET	54		12+AVENUE+%26+WEST+44+STREET	12+AVENUE+%26+WEST+45+STREET	10036	10036	"OCTYPE html>
<html i"	40.763609,-73.998997			40.763609	-73.998997	40.763609	-73.998997	40.763609	-73.998997	40.763479000000004	-73.998867	40.763479000000004	-73.999127	40.763739	-73.998867	40.763739	-73.999127
12 AVENUE	WEST 59 STREET	WEST 62 STREET	55		12+AVENUE+%26+WEST+59+STREET	12+AVENUE+%26+WEST+62+STREET	10069	11219	40.772783,-73.993203	40.629023,-74.001905	40.772783000000004	-73.99320300000001	40.629023	-74.00190500000001	40.772783000000004	-73.99320300000001	40.629023	-74.00190500000001	40.628893	-73.99307300000001	40.628893	-74.002035	40.772913	-73.99307300000001	40.772913	-74.002035
120 AVENUE	191 STREET	192 STREET	56		120+AVENUE+%26+191+STREET	120+AVENUE+%26+192+STREET	11412	11412	40.687608,-73.758025	40.688027,-73.756875	40.687608000000004	-73.758025	40.688027000000005	-73.756875	40.688027000000005	-73.756875	40.687608000000004	-73.758025	40.687478000000006	-73.756745	40.687478000000006	-73.758155	40.688157000000004	-73.756745	40.688157000000004	-73.758155
120 AVENUE	191TH STREET	192TH STREET	57		120+AVENUE+%26+191TH+STREET	120+AVENUE+%26+192TH+STREET	CTYPE	CTYPE	"OCTYPE html>
<html i"	"OCTYPE html>
<html i"																
126 STREET	37 AVENUE	38 AVENUE	58		126+STREET+%26+37+AVENUE	126+STREET+%26+38+AVENUE	CTYPE	CTYPE	"OCTYPE html>
<html i"	"OCTYPE html>
<html i"																
126TH ST	37TH AVE	38TH AVE	59		126TH+ST+%26+37TH+AVE	126TH+ST+%26+38TH+AVE	CTYPE	CTYPE	"OCTYPE html>
<html i"	"OCTYPE html>
<html i"																
13 AVENUE	72 STREET	73 STREET	60		13+AVENUE+%26+72+STREET	13+AVENUE+%26+73+STREET	11228	11228	40.622028,-74.005648	40.621490,-74.006264	40.622028	-74.005648	40.62149	-74.006264	40.622028	-74.005648	40.62149	-74.006264	40.62136	-74.005518	40.62136	-74.006394	40.622158	-74.005518	40.622158	-74.006394
13 AVENUE	71 STREET	72 STREET	61		13+AVENUE+%26+71+STREET	13+AVENUE+%26+72+STREET	11228	11228	40.622551,-74.005092	40.622028,-74.005648	40.622551	-74.005092	40.622028	-74.005648	40.622551	-74.005092	40.622028	-74.005648	40.621898	-74.004962	40.621898	-74.00577799999999	40.622681	-74.004962	40.622681	-74.00577799999999
130 PL	30TH PL	BERGEN RD	62		130+PL+%26+30TH+PL	130+PL+%26+BERGEN+RD	CTYPE	11430	"OCTYPE html>
<html i"	40.659358,-73.810824			40.659358000000005	-73.810824	40.659358000000005	-73.810824	40.659358000000005	-73.810824	40.659228000000006	-73.810694	40.659228000000006	-73.810954	40.659488	-73.810694	40.659488	-73.810954
